Address_ID,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Location_ID,Weather_ID
189,9797.0, S State Road 1,R,Keystone,Wells,IN,46759,US,US/Eastern,KMZZ,189,189
190,,I-80 W,R,Mercer,Mercer,PA,16137,US,US/Eastern,KUCP,190,190
191,8001.0, N State Road 1,R,Bryant,Jay,IN,47326,US,US/Eastern,KMIE,191,191
192,8801.0, E 1200 S-90,R,Pennville,Jay,IN,47369,US,US/Eastern,KMIE,192,192
193,,I-77 N,R,Kimbolton,Guernsey,OH,43749,US,US/Eastern,KZZV,193,193
194,,I-70 E,R,Thornville,Licking,OH,43076,US,US/Eastern,KVTA,194,194
195,,Outerbelt N,R,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,195,195
196,,I-79 N,R,Wexford,Allegheny,PA,15090,US,US/Eastern,KBTP,196,196
197,,Outerbelt W,R,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,197,197
198,591.0, Lumiere St,L,Akron,Summit,OH,44306,US,US/Eastern,KAKR,198,198
199,,I-69 S,R,Fishers,Hamilton,IN,46038,US,US/Eastern,KMQJ,199,199
200,,I-70 W,R,Columbus,Franklin,OH,43222,US,US/Eastern,KTZR,200,200
201,,Outerbelt W,R,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,201,201
202,,Outerbelt N,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,202,202
203,,Olio Rd,R,Noblesville,Hamilton,IN,46060,US,US/Eastern,KTYQ,203,203
204,,OH-711 S,R,Youngstown,Mahoning,OH,44509,US,US/Eastern,KYNG,204,204
205,1530.0, Salt Springs Rd,L,Youngstown,Mahoning,OH,44509,US,US/Eastern,KYNG,205,205
206,,Olentangy Fwy S,R,Columbus,Franklin,OH,43214,US,US/Eastern,KOSU,206,206
207,,KY-841 E,R,Fairdale,Jefferson,KY,40118,US,US/Eastern,KSDF,207,207
208,,I-77 S,R,Cleveland,Cuyahoga,OH,44105,US,US/Eastern,KBKL,208,208
209,,I-79 N,R,Sutton,Braxton,WV,26601,US,US/Eastern,K48I,209,209
210,,OH-711 S,R,Youngstown,Mahoning,OH,44510,US,US/Eastern,KYNG,210,210
211,,I-70 E,R,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,211,211
212,,I-77 N,R,Akron,Summit,OH,44311,US,US/Eastern,KAKR,212,212
213,,Outerbelt E,R,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,213,213
214,,I-71 S,R,Grove City,Franklin,OH,43123,US,US/Eastern,KTZR,214,214
215,,Olentangy Fwy N,R,Columbus,Franklin,OH,43214,US,US/Eastern,KOSU,215,215
216,,US-24 E,R,Fort Wayne,Allen,IN,46818,US,US/Eastern,KFWA,216,216
217,,I-69 N,R,Fort Wayne,Allen,IN,46825,US,US/Eastern,KGWB,217,217
218,,I-64 E,R,Mount Sterling,Montgomery,KY,40353,US,US/Eastern,KIOB,218,218
219,,I-75 N,R,Toledo,Lucas,OH,43609,US,US/Eastern,KTDZ,219,219
220,,I-74 W,R,Cincinnati,Hamilton,OH,45225,US,US/Eastern,KLUK,220,220
221,5083.0, E 900 N,R,Roanoke,Huntington,IN,46783,US,US/Eastern,KFWA,221,221
222,5527.0, E 900 N,R,Roanoke,Huntington,IN,46783,US,US/Eastern,KFWA,222,222
223,,I-680 S,R,Youngstown,Mahoning,OH,44507,US,US/Eastern,KYNG,223,223
224,,I-75 N,R,Northwood,Wood,OH,43619,US,US/Eastern,KTDZ,224,224
225,,I-64 W,R,Huntington,Cabell,WV,25705,US,US/Eastern,KHTS,225,225
